V200011a,V202144,V201200,V202064,V202064z,V202637,V201549x,V203000
0.868899329636933,60,6,-1,-3,-1,1,1
0.523196088614366,0,4,-1,-3,-1,1,16
1.3465443539215,50,3,-1,-3,-1,6,36
1.11805920189932,85,6,-1,-3,-1,1,20
1.22201805606703,-5,99,-1,-3,-5,2,12
0.66270218185603,70,6,-1,-3,-1,1,51
1.38891870506266,100,5,-1,-3,-1,3,48
1.07919848488683,100,7,-1,-3,-5,1,37
0.745832003726918,0,4,-1,-3,-1,1,48
0.684102938810898,50,4,-1,-3,-1,1,39
0.651475468592185,100,7,-1,-3,-1,1,16
0.611141597495616,0,2,-1,-3,-1,1,51
1.62132058923272,60,99,-1,-3,-1,1,23
0.641584599259063,80,6,-1,-3,-1,1,20
0.400788548525324,0,5,-1,-3,-1,1,16
0.999032785977048,10,5,-1,-3,-1,1,53
0.665147607120636,0,99,-1,-3,-1,2,11
0.936490999305796,95,6,-1,-3,-1,1,24
0.433788693099052,60,1,-1,-3,-1,1,6
1.48172103792676,0,99,1,-3,-1,1,42
0.394814632225332,60,4,-1,-3,-1,6,25
1.08410752114833,85,6,-1,-3,-1,1,48
0.785292738774449,100,7,-1,-3,-1,1,55
0.552273487874899,85,7,-1,-3,-1,1,49
2.85296476240919,0,4,-1,-3,-1,3,6
0.710046763866435,100,6,-1,-3,-1,1,12
0.925602273070242,85,6,-1,-3,-1,5,12
0.569987211682378,50,99,-1,-3,-1,1,39
0.437366750387487,0,2,-1,-3,-1,1,26
0.612905309827041,0,99,-1,-3,-1,2,20
0.616377943381423,60,99,-1,-3,-1,4,12
0.693746596497437,0,99,-1,-3,-1,2,6
0.572598430290548,40,4,-1,-3,-1,1,49
2.84355542364624,85,6,-1,-3,-1,2,48
0.547911883235825,0,4,-1,-3,-1,1,33
0.887842494655799,0,2,-1,-3,-1,6,17
0.382042182171566,40,5,-1,-3,-1,4,34
2.18394825816776,0,2,-1,-3,-1,1,53
1.19962218691596,0,99,-1,-3,-1,1,36
0.633143866615201,70,5,-1,-3,-1,1,13
1.27951572511559,0,5,-1,-3,-1,1,8
2.04865774884014,0,99,-1,-3,-1,3,6
1.2267278285331,30,4,-1,-3,-1,1,39
1.65063824663426,0,3,-1,-3,-1,1,40
0.71820474652261,0,4,-1,-3,-1,1,13
0.997820097258285,-6,7,-6,-3,-6,1,35
0.650372145198002,85,4,-1,-3,-1,6,24
0.745963785791946,100,7,-1,-3,-1,1,54
0.734863436318923,0,3,-1,-3,-1,1,19
1.20764098594186,0,2,-1,-3,-1,1,41
1.8481904870478,100,6,-1,-3,-1,1,4
1.31133404392992,0,3,-1,-3,-1,1,48
1.0562407159474,100,99,-1,-3,-1,1,20
2.59086679787362,85,5,-1,-3,-1,1,21
0.963662709851641,0,3,-1,-3,-1,6,47
0.894738944734688,70,5,-1,-3,-1,3,4
0.958030794337847,85,6,-1,-3,-1,1,47
1.52584010446478,100,6,-1,-3,-1,1,30
0.619929125759692,0,4,-1,-3,-1,3,8
0.668641337385293,90,6,-1,-3,-1,1,42
0.546324012009849,40,5,-1,-3,-1,1,12
0.641975321133947,-6,7,-6,-3,-6,1,37
0.614769090119663,70,99,-1,-3,-1,3,6
0.38994274035566,100,6,-1,-3,-1,1,13
1.02170126391703,40,4,-1,-3,-1,5,40
3.15827543896946,0,3,-1,-3,-5,1,48
0.744185399064387,100,4,-1,-3,-1,2,39
3.67952342641578,-6,99,-6,-3,-6,2,5
0.910484903674315,0,1,-1,-3,-1,1,48
0.288404091146202,0,2,-1,-3,-1,4,4
0.556383717637832,100,7,-1,-3,-1,1,19
0.317321334665469,50,4,-1,-3,-1,1,20
0.350520552281784,100,4,-1,-3,-1,1,47
0.380803518653742,5,3,-1,-3,-1,1,6
0.679273717595486,0,3,-1,-3,-1,1,55
1.00039321256912,0,3,-1,-3,-1,1,38
0.35164473808527,15,5,-1,-3,-1,3,48
0.591817969635306,0,2,-1,-3,-1,1,13
0.431304914085519,86,6,-1,-3,-1,1,48
1.46157338128783,85,99,-1,-3,-1,1,13
1.85337121230805,15,3,-1,-3,-1,1,36
0.842699073690797,100,7,-1,-3,-1,1,45
0.637702819183597,20,4,-1,-3,-1,1,6
0.331623090402034,80,5,-1,-3,-1,1,35
0.513679200654567,100,3,-1,-3,-1,4,25
0.645919318058793,0,99,-1,-3,-1,1,26
2.75350609803605,100,6,-1,-3,-1,1,25
0.741509587877511,60,5,-1,-3,-1,1,27
1.58449088293016,100,6,-1,-3,-1,1,25
1.47685753819827,0,4,-1,-3,-1,2,24
1.19819958087914,55,3,-1,-3,-1,1,6
1.00768915474088,0,3,-1,-3,-1,1,12
0.695651752453954,70,5,-1,-3,-1,3,26
0.711269455904054,0,3,-1,-3,-1,1,5
0.72542919980256,50,4,-1,-3,-1,1,36
1.34143285993383,90,6,-1,-3,-1,1,48
0.58648527128971,100,6,-1,-3,-1,1,9
0.716614309107794,60,5,-1,-3,-1,1,29
0.779764507249088,70,6,1,-3,-1,1,24
1.2949188488441,0,2,-1,-3,-1,2,17
0.566333561600531,0,2,-1,-3,-1,1,36
